Size BST-Insert AVL-Insert BST-Find AVL-Find
922 43942 2014 50191 1657
923 40380 1981 50328 1546
924 43789 1984 50453 1532
925 44229 1971 48709 1736
926 43913 1942 48879 1724
927 44311 1941 46390 1262
928 44107 2004 46509 1250
929 43374 2072 46523 1678
930 40750 1911 46387 1645
931 39917 1945 47816 1467
932 40161 1907 47580 1483
933 43543 2084 49803 1577
934 43230 1972 50134 1569
935 40298 1945 45622 1350
936 44379 1905 45464 1330
937 44322 1891 47578 1660
938 40133 1835 47718 1634
939 43479 1895 48270 1507
940 44547 1932 47810 1502
941 44895 1977 46983 1770
942 43395 1956 46839 1735
943 43573 1921 45892 1382
944 42158 1995 45631 1432
945 41195 1943 45953 1768
946 41511 1968 46654 1770
947 45215 2008 46183 1593
948 43986 2021 45864 1594
949 45269 1923 51576 1607
950 43939 1950 51839 1588
951 43948 1923 46384 1394
952 41651 1948 46833 1389
953 44130 1924 51821 1672
954 45405 1952 51982 1645
955 44151 1923 52028 1533
956 45314 1915 51785 1765
957 41282 1902 50860 1597
958 42404 1894 50898 1595
959 45531 2104 46264 1161
960 41427 1904 46276 1127
961 42296 1881 50146 1676
962 42514 1880 50422 1638
963 42402 1902 49014 1490
964 45720 1938 49000 1487
965 45799 1981 50901 1697
966 45209 1995 51080 1703
967 42792 1952 52434 1438
968 46487 2065 52532 1424
969 46474 1994 49877 1633
970 44932 2000 49120 1626
971 45300 2181 52653 1528
972 43658 1960 52726 1515
973 45056 1946 53101 1666
974 45092 1972 53528 1646
975 43676 2208 52839 1319
976 42810 1945 52845 1316
977 41840 1923 51475 1729
978 43989 2055 51259 1698
979 45470 1966 49939 1535
980 42019 1977 50030 1538
981 45542 1959 48670 1727
982 45612 2040 48899 1710
983 45809 1907 48270 1502
984 44188 1977 47717 1514
985 45825 1913 48212 1769
986 46761 1930 48472 1727
987 47312 1949 49393 1633
988 46789 1943 49645 1635
989 47469 1936 53599 1725
990 46758 2030 53672 1715
991 47296 1955 54172 1227
992 46276 2022 53697 1221
993 44603 1988 51131 1722
994 47065 1898 50856 1691
995 47046 1882 50927 1540
996 43838 1883 50865 1527
997 42925 1892 51015 1740
998 46727 1952 51265 1708
999 46263 1907 50021 1509
1000 46394 1952 50045 1502
1001 48183 1931 51340 1710
1002 47559 1944 51280 1699
