Size BST-Insert AVL-Insert BST-Find AVL-Find
721 3138 164 3431 158
722 3141 148 3421 108
723 3156 158 3405 147
724 3113 131 3459 99
725 3113 135 3067 136
726 3231 128 3070 104
727 3142 145 3409 112
728 3138 139 3405 83
729 3143 144 3415 193
730 3405 146 3409 138
731 3169 151 3280 111
732 3202 138 3281 85
733 3179 156 3377 142
734 3200 162 3374 104
735 3198 160 3478 66
736 3210 174 3463 62
737 3209 191 3619 139
738 3253 162 3739 92
739 3277 166 3431 84
740 3187 142 3416 78
741 3210 157 3552 151
742 3211 150 3510 106
743 3224 152 3539 87
744 3242 150 3522 79
745 3231 161 3483 126
746 3233 147 3466 86
747 3547 151 3558 104
748 3259 155 3557 94
749 3236 130 3215 141
750 3237 121 3200 102
751 3187 163 3193 75
752 3190 145 3197 62
753 3202 179 3579 164
754 3222 163 3565 117
755 3226 149 3524 156
756 3232 151 3525 121
757 3243 170 3416 160
758 3245 152 3403 113
759 3237 157 4030 96
760 3437 170 3657 87
761 3294 179 3615 152
762 3304 167 3587 96
763 3300 160 3532 124
764 3791 150 3495 88
765 3270 159 3580 145
766 3277 142 3558 108
767 3300 156 3516 76
768 3310 170 3504 56
769 3410 208 3543 163
770 3399 144 3528 112
771 3325 138 3620 130
772 3315 138 3613 83
773 3302 125 3641 174
774 3397 148 3624 110
775 3350 161 3750 77
776 3345 146 3628 65
777 3626 162 3512 156
778 3354 145 3385 95
779 3337 132 3456 117
780 3349 135 3446 85
781 3354 164 3684 160
782 3369 147 3681 107
783 3360 144 3597 66
784 3363 144 3472 51
785 3383 165 3471 162
786 3406 173 3449 114
787 3404 172 3503 116
788 3404 152 3480 80
789 3398 163 3678 242
790 3411 157 3646 135
791 3412 151 3495 104
792 3424 137 3469 82
793 3393 142 3761 118
794 3410 134 3761 96
795 3534 137 3708 136
796 3412 132 3690 113
797 3425 156 3588 175
798 3430 135 3561 116
799 3437 152 3717 85
800 3417 139 3703 68
801 3432 176 3751 167
802 3451 162 3737 102
803 3462 164 4008 114
804 3504 185 3836 80
805 3668 174 3402 157
806 3497 147 3384 110
807 3610 138 3794 94
808 3472 125 3780 79
809 3477 132 3754 188
810 3650 146 3733 122
811 3767 149 3843 107
812 3515 170 3815 87
813 3492 143 3765 199
814 3489 119 4126 127
815 3497 126 3802 86
816 3486 146 3740 67
817 3512 168 3614 117
818 3523 164 3600 88
819 3530 162 3827 119
820 3526 151 3815 87
821 3538 167 3835 128
822 3541 153 3812 95
823 3621 179 4006 101
824 3552 186 3801 79
825 3559 181 3832 122
826 3587 183 3815 93
827 3568 155 3670 127
828 3569 146 3658 91
829 3639 149 3815 164
830 3574 144 3810 105
831 3726 135 3887 79
832 3600 152 3836 69
833 3589 179 3684 165
834 3587 144 3710 103
835 3608 149 3615 119
836 3602 130 3488 88
837 3613 152 3933 134
838 3585 127 3915 96
839 3612 140 3897 102
840 3607 136 3877 70
841 3632 176 3950 120
842 3620 140 3927 92
843 3631 156 3746 90
844 3639 147 3727 77
845 3646 168 3989 128
846 3765 157 3987 92
847 3658 154 4049 62
848 3662 163 3998 57
849 3662 187 4182 145
850 3662 170 3921 96
851 3683 172 3943 92
852 3660 134 3936 81
853 3666 142 3847 149
854 3669 119 3801 100
855 3687 131 3811 114
856 3679 115 3772 85
857 3817 163 3993 164
858 3694 116 3982 112
859 3708 126 4158 129
860 3724 142 4087 96
861 3693 151 4021 133
862 3716 156 4034 104
863 3738 167 4015 61
864 3742 162 3994 54
865 3741 177 4140 147
866 3775 160 4094 99
867 3751 165 3843 115
868 3756 148 3822 92
869 3756 146 4274 141
870 3938 142 4026 100
871 3838 144 4116 101
872 3700 142 4081 75
873 3717 163 4075 108
874 3724 152 4054 86
875 3748 163 4113 129
876 3725 137 4083 92
877 4051 156 4098 128
878 3768 156 4070 101
879 3763 163 4098 118
880 3756 171 4049 96
881 4189 185 3932 147
882 3768 155 3917 107
883 3763 159 4110 134
884 3784 156 4088 91
885 3777 177 4452 135
886 3801 158 4120 102
887 3845 150 4198 89
888 3803 163 4162 79
889 3809 174 3946 127
890 3797 152 3936 102
891 3817 154 3950 116
892 3825 165 3950 98
893 3819 173 3947 144
894 3825 158 4285 108
895 3824 142 4212 71
896 3829 158 3940 58
897 3869 207 3966 189
898 3851 126 3941 109
899 3853 154 3896 169
900 3856 153 3826 106
901 3877 183 4011 182
902 3879 153 3988 110
903 3881 163 3778 135
904 3881 164 3742 85
905 3930 158 3778 162
906 3901 152 3738 100
907 3907 144 4211 131
908 3896 137 4038 91
909 4085 156 4067 124
910 3879 132 4056 99
911 3893 146 4334 73
912 3909 150 4599 57
913 3917 169 4069 159
914 3923 158 4057 112
915 4104 151 3829 147
916 3927 151 3842 92
917 3937 155 4390 137
918 3946 162 4376 98
919 3952 159 4324 84
920 3952 174 4341 72
921 3962 182 4310 126
922 3953 160 4300 88
923 3964 174 4322 127
924 3957 155 4308 90
925 3962 158 4333 205
926 3974 144 4276 130
927 3985 156 4164 85
928 4242 139 4132 69
929 3981 165 4178 150
930 3984 153 4145 107
931 4030 170 4214 119
932 4111 172 4167 82
933 3997 148 4367 146
934 3996 132 4359 99
935 4000 144 3942 102
936 3979 140 3938 83
937 3985 153 4290 163
938 3991 130 4182 107
939 4007 145 4206 109
940 4023 158 4177 80
941 4040 176 4241 196
942 4045 154 4202 131
943 4057 176 4025 113
944 4050 187 4011 72
945 4055 200 4029 165
946 4083 187 4005 107
947 4160 163 4018 96
948 4077 143 4016 85
949 4198 153 4750 130
950 4085 155 4559 105
951 4087 143 4024 91
952 4200 153 4021 80
953 4104 152 4485 125
954 4101 157 4474 100
955 4117 165 4494 93
956 4112 149 4484 79
957 4098 140 4485 159
958 4107 139 4411 126
959 4129 148 4026 91
960 4135 126 4171 57
961 4098 183 4390 164
962 4096 122 4366 104
963 4160 135 4268 114
964 4119 133 4253 93
965 4135 156 4411 112
966 4157 164 4510 94
967 4153 167 4507 97
968 4157 176 4503 68
969 4157 179 4298 112
970 4167 159 4516 90
971 4170 157 4498 130
972 4251 159 4506 89
973 4271 172 4639 165
974 4196 172 4521 107
975 4196 175 4579 88
976 4207 179 4644 69
977 4288 196 4492 152
978 4227 176 4491 107
979 4224 159 4382 125
980 4235 152 4359 94
981 4248 170 4367 154
982 4255 147 4358 119
983 4235 145 4184 132
984 4242 157 4293 95
985 4381 170 4172 150
986 4261 156 4155 113
987 4262 162 4562 122
988 4267 150 4390 102
989 4280 162 4685 133
990 4271 142 4660 101
991 4280 142 4620 69
992 4288 153 4637 62
993 4301 193 4485 151
994 4290 127 4611 106
995 4298 145 4458 95
996 4287 127 4532 85
997 4295 154 4455 166
998 4314 155 4464 104
999 4420 273 4469 116
1000 4332 165 4445 90
1001 4326 165 4538 130
1002 4334 160 4455 96
1003 4404 170 4747 134
1004 4353 161 4685 105
1005 4367 165 4851 163
1006 4356 144 4714 114
1007 4367 155 4554 77
1008 4367 153 4526 67
1009 4378 177 4793 131
1010 4375 148 4873 105
1011 4372 151 4798 121
1012 4375 141 4774 95
1013 4402 175 4765 118
1014 4409 147 4747 104
1015 4392 135 4805 95
1016 4395 130 4773 79
1017 4400 161 4435 161
1018 4423 154 4435 117
1019 4440 163 4694 131
1020 4452 179 4686 103
1021 4446 182 4813 148
1022 4468 164 4707 111
1023 4469 173 4723 46
1024 4459 156 4698 32
1025 4459 186 4708 174
1026 4480 160 4689 104
1027 4495 174 4212 125
1028 4400 156 4197 81
1029 4437 200 4753 170
1030 4477 145 4741 100
1031 4436 165 4820 137
1032 4449 157 4704 90
1033 4463 184 4650 183
1034 4456 159 4756 101
1035 4453 152 4602 119
1036 4452 160 4566 88
1037 4454 155 4591 102
1038 4487 174 4614 88
1039 4509 174 4658 86
1040 4489 168 4638 68
1041 4497 187 4842 129
1042 4506 178 4843 79
1043 4508 197 4677 111
1044 4525 188 4655 80
1045 4494 174 4987 169
1046 4515 168 4934 100
1047 4520 170 4810 101
1048 4532 158 4825 77
1049 4536 176 5005 130
1050 4605 177 4862 92
1051 4552 175 4889 125
1052 4560 177 4875 87
1053 4569 188 4909 120
1054 4646 149 4962 93
1055 4562 158 4944 72
1056 4566 174 5125 59
1057 4635 200 4965 137
1058 4586 172 5035 90
1059 4601 183 4896 143
1060 4557 144 4873 94
1061 4560 154 4893 151
1062 4640 155 4898 107
1063 4612 167 4936 87
1064 4658 158 4877 73
1065 4612 186 5040 128
1066 4618 164 5023 104
1067 4623 172 4901 110
1068 4632 171 4825 92
1069 4626 159 4946 140
1070 4635 163 4917 102
1071 4643 161 5064 81
1072 4662 177 5022 63
1073 4676 202 4980 118
1074 4700 212 4983 92
1075 4697 216 5034 122
1076 4704 182 5028 92
1077 4699 185 5148 110
1078 4693 179 5004 86
1079 4707 174 4531 116
1080 4826 172 4515 84
1081 4694 172 4732 153
1082 4709 152 4731 106
1083 4704 158 5176 133
1084 4726 159 5063 100
1085 4715 152 5173 170
1086 4720 146 5092 116
1087 4719 169 5027 62
1088 4730 171 5004 47
1089 4736 192 4951 160
1090 4743 165 4904 100
1091 4749 168 5105 104
1092 4734 142 5081 77
1093 4757 167 5147 153
1094 4771 164 5137 108
1095 4779 164 4933 111
1096 4794 182 4933 77
1097 4792 172 4972 130
1098 4790 162 4944 90
1099 4792 162 4952 121
1100 4811 161 4899 87
1101 4822 178 5170 110
1102 4735 171 4960 98
1103 4748 160 5222 80
1104 4745 164 5208 71
1105 4771 198 5284 122
1106 4780 166 5195 95
1107 4782 169 5054 117
1108 4804 175 5009 83
1109 4790 170 4739 127
1110 4874 183 4728 100
1111 4798 160 4891 108
1112 4799 151 4881 77
1113 4834 165 4893 116
1114 4798 164 4888 92
1115 4789 160 5402 119
1116 4787 129 5239 102
1117 4714 156 5384 140
1118 4722 153 5215 109
1119 4729 161 4923 59
1120 4869 167 4918 54
1121 4765 206 4797 129
1122 4765 167 4784 95
1123 4750 156 5273 142
1124 4739 128 5258 104
1125 4749 153 5241 157
1126 4754 140 5235 113
1127 4766 148 5252 98
1128 4763 140 5323 93
1129 4898 170 5262 110
1130 4792 160 5248 83
1131 5042 170 4990 126
1132 4789 156 4976 92
1133 4794 148 5279 153
1134 4806 144 5280 106
1135 4821 167 5355 107
1136 4805 142 5354 82
1137 4819 176 5370 176
1138 4841 171 5359 124
1139 4854 164 5335 102
1140 4981 159 5376 81
1141 4909 172 5341 126
1142 4859 176 5336 90
1143 4856 152 5411 113
1144 4842 139 5390 87
1145 5444 169 5428 144
1146 4873 152 5409 109
1147 4951 158 5148 119
1148 4880 152 5125 94
1149 4878 158 5310 151
1150 4869 129 5289 112
1151 4883 145 5434 58
1152 4891 147 5436 47
1153 5002 206 4847 128
1154 4949 178 4849 87
1155 4937 178 5032 110
1156 4912 176 5038 72
1157 4932 181 5384 135
1158 4935 166 5375 99
1159 4929 160 5102 104
1160 4944 160 4874 66
1161 4929 161 5350 174
1162 4925 140 5222 101
1163 4941 147 4846 109
1164 4955 149 4883 81
1165 4973 176 5427 138
1166 4963 150 5406 95
1167 4972 167 5431 127
1168 4992 173 5425 80
1169 4948 175 5331 149
1170 4963 154 5306 95
1171 4972 169 5334 79
1172 4992 177 5318 72
1173 4984 157 5287 182
1174 5401 161 5390 109
1175 5000 155 5292 73
1176 5000 145 5264 69
1177 5012 166 5207 141
1178 5035 272 5195 95
